COD_ITEM,NUM_ORDEM,QTDE,TIPO_ORDEM,DESC_TECNICA,PLANEJADOR,NUM_ITEM
138091,1198274,4,OFA,"TUBO FAB QUADRADO SAE 1020 0,50 80X80X400 C/E",PL001 - SERRA FITA (PRODUCAO),907
138078,1198266,4,OFA,"TUBO FAB QUADRADO SAE 1020 0,50 100X100X500 C/E TP1",PL001 - SERRA FITA (PRODUCAO),922
44103,1198350,24,OFA,"TUBO FAB REDONDO SAE 1020 1,20 28,6X28,6X50",PL001 - SERRA FITA (PRODUCAO),914
138113,1198199,2,OFA,"CHAPA FAB PISO XADREZ ALUMINIO 2,65 1964,4X250X2,7 C/F EXP",PL004 - PUNCIONADEIRA (PRODUCAO),852
138053,1198321,2,OFA,"BANZO LATERAL SAE 1020 3,17 61,3X256,3X1590 ESQ C/F TP1",PL004 - PUNCIONADEIRA (PRODUCAO),931
138112,1198198,1,OFA,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 678,4X94X40 C/C EXP",PL002 - PLASMA (PRODUCAO),834
138098,1198189,2,OFA,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 103,9X102X1000,4 C/F C/E EXP",PL002 - PLASMA (PRODUCAO),890
138092,1198275,6,OFA,"CHAPA FAB PLANA RETANGULAR ASTM A36 6,35 100X138X6,4 C/F TP1",PL002 - PLASMA (PRODUCAO),920
138084,1198325,1,OFA,"PERFIL U FAB PADRAO SAE 1020 2,65 148,3X52,7X905 C/F C/E TP10",PL002 - PLASMA (PRODUCAO),848
138069,1198322,4,OFA,"PERFIL L FAB ABAS DESIGUAIS SAE 1020 4,75 129,8X226,8X60 C/F TP1",PL002 - PLASMA (PRODUCAO),873
138058,1198255,2,OFA,"PERFIL U FAB PADRAO SAE 1020 4,75 129,5X54,8X895,7 C/F C/E",PL002 - PLASMA (PRODUCAO),845
55707,1198306,9,OFA,"RODAPE PADRAO SAE 1020 1,90 197,9X7X100 P/ UNIAO EXP",PL002 - PLASMA (PRODUCAO),938
24136,1198294,8,OFA,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 109X50X4,8 C/F",PL002 - PLASMA (PRODUCAO),892
122797,1198243,1,OFA,"PERFIL U FAB PADRAO SAE 1020 1,90 1022X80X40 C/C",PL002 - PLASMA (PRODUCAO),887
27351,1198231,4,OFA,"CHAPA FAB PLANA RETANGULAR ASTM A36 12,70 200X300X12,7 C/F",PL002 - PLASMA (PRODUCAO),847
24089,1198293,2,OFA,"PERFIL L FAB PADRAO SAE 1020 3,17 38,2X38,2X905",PL003 - GUILHOTINA (PRODUCAO),848
138117,1198202,1,OFA,"CONJUNTO PATAMAR 151X910,3X806,3 800 TP1 EXP",PL009 - PRE-MONTAGEM (PRODUCAO),829
138137,1198214,1,OFA,"CJ TRAVESSA PERFIL W 111,1X148X3928,8 TP3 EXP",PL010 - SOLDA (PRODUCAO),876
138054,1198253,2,OFA,"CJ BANZO LATERAL ESCADA 63,2X257,2X1595,6 TP1 EXP",PL010 - SOLDA (PRODUCAO),873
128906,1198247,2,OFA,"CONJUNTO RODAPE 468,1X377,5X7 UNIAO 40GRAUS EXP",PL010 - SOLDA (PRODUCAO),867
138051,1198252,4,OFA,"TUBO FAB QUADRADO SAE 1020 3,17 80X80X944,9",PL001 - SERRA FITA (PRODUCAO),872
100687,1198240,3,OFA,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X1009,6 EXP",PL001 - SERRA FITA (PRODUCAO),916
23952,1198296,9,OFA,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X310 EXP",PL001 - SERRA FITA (PRODUCAO),854
138102,1198280,2,OFA,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 138,9X52X1193 C/F C/E",PL004 - PUNCIONADEIRA (PRODUCAO),832
138096,1198277,2,OFA,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 138,9X52X1952 C/F C/E",PL004 - PUNCIONADEIRA (PRODUCAO),832
138090,1198273,1,OFA,"CHAPA FAB PISO XADREZ ALUMINIO 2,65 806,3X910X2,7 C/F PM",PL004 - PUNCIONADEIRA (PRODUCAO),829
138063,1198183,2,OFA,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 103,9X52X1233,6 C/F C/E EXP",PL004 - PUNCIONADEIRA (PRODUCAO),905
96946,1198309,10,OFA,"CHAPA FAB PISO XADREZ ALUMINIO 2,65 800X255X2,7 C/F PM",PL004 - PUNCIONADEIRA (PRODUCAO),874
138109,1198195,1,OFA,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 678,4X94X40 C/C TP1 EXP",PL002 - PLASMA (PRODUCAO),925
138105,1198330,1,OFA,"PERFIL U FAB PADRAO SAE 1020 2,65 148,3X52,7X905 C/F C/E TP17",PL002 - PLASMA (PRODUCAO),829
