NUM_ORDEM,LISTAGG
1198177,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198178,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198179,CORTAR  - PENDENTE|FURAR  - PENDENTE
1198180,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198181,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198182,CORTAR  - PENDENTE|CORTAR  - PENDENTE|FURAR  - PENDENTE
1198183,CORTAR  - PENDENTE|FURAR  - PENDENTE|ENTALHAR  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198184,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198185,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198186,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198187,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198188,CORTAR  - PENDENTE|FURAR  - PENDENTE|ENTALHAR  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198189,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198190,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198191,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198192,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198193,CORTAR  - PENDENTE|CORTAR  - PENDENTE|FURAR  - PENDENTE
1198194,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198195,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198196,CORTAR  - PENDENTE|FURAR  - PENDENTE
1198197,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198198,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198199,CORTAR  - PENDENTE|FURAR  - PENDENTE
1198200,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198201,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198202,PARAFUSAR  - PENDENTE
1198203,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198204,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198205,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198206,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198207,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198208,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198209,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198210,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198211,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198212,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198213,PARAFUSAR  - PENDENTE
1198214,PONTEAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198215,CORTAR  - PENDENTE|FURAR  - PENDENTE|LIMPAR-PLASMA  - PENDENTE|DOBRAR  - PENDENTE|SOLDAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198222,CORTAR  - PENDENTE|FURAR  - PENDENTE|DOBRAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
1198223,CORTAR  - PENDENTE|LIMPAR-TANQUE  - PENDENTE|JATEAR  - PENDENTE|PINTAR  - PENDENTE
