"COD_ITEM","NUM_ORDEM","QTDE","DESC_TECNICA"
"126266",1116934,1,"TRANSICAO EXCENTRICA SAE 1020 1,90 269X196,2X113,2"
"126270",1116774,3,"CONJUNTO AMORTECEDOR 354X486,6X164,7 FINAL 45GRAUS DIAM 150 EXP"
"126272",1116775,2,"CONJUNTO INTERLIGACAO 249X653,2X250,2 EXP"
"126279",1116943,4,"TUBO FAB REDONDO SAE 1020 1,90 131,7X101,1X133,8"
"126463",1116777,2,"CONJUNTO FIXACAO 58X42,6X1344,3 EL6 ESQ EXP"
"126466",1116946,2,"CHAPA FAB PISO EXPANDIDA_FAB_50X100 4,75 751,0X1180,0X4,8"
"126469",1116947,1,"TRANSICAO EXCENTRICA SAE 1020 1,90 149,7X249,6X145,7"
"126470",1116948,1,"TRANSICAO EXCENTRICA SAE 1020 1,90 149,6X249,6X166,1"
"10060",1116949,4,"BARRA FAB CHATA ASTM A36 3,17 290X31,8X3,2 C/F"
"10074",1117117,4,"BARRA FAB CHATA ASTM A36 3,17 363,5X31,8X3,2 C/F"
"120380",1116856,2,"CONJUNTO PATAMAR 1005,3X105,3X3005,3 EXP"
"120383",1116858,1,"CJ TRAVESSA PERFIL U 165,0X87,7X584,2 EXP"
"120388",1116745,2,"CONJUNTO INTERLIGACAO 780,2X649,0X164, EXP"
"121560",1116862,4,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 38,1X45X4,8 EL8 C/F F/E"
"10075",1117118,4,"BARRA FAB CHATA ASTM A36 3,17 250X31,8X3,2 C/F"
"11223",1117119,2,"APOIO CALHA SAE 1020 2,65 281,3X190,7X50"
"14674",1116783,2,"TRANSICAO CONCENTRICA SAE 1020 1,90 211,3X60,6X101,1"
"16717",1116786,1,"CHAPA FAB LIGACAO SAE 1020 1,90 211,8X84,9X123,3 ESQ"
"16718",1116787,1,"CHAPA FAB LIGACAO SAE 1020 1,90 211,8X167,4X84,4"
"123000",1116865,2,"PERFIL LAM FAB CANT ASTM A36 4,75 38,1X38,1X1321"
"123001",1116866,2,"PERFIL LAM FAB CANT ASTM A36 4,75 38,1X38,1X1321 ESQ"
"123035",1117064,2,"PERFIL U FAB FECH 2 LADOS SAE 1020 1,90 577,7X100,1X40,1 C/F EXP"
"118009",1116870,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 1,9 322X36X1,9 EL8P C/F"
"16720",1116789,2,"FLANGE LAM PADRAO ASTM A36 3,17 170X31,8X3,2 C/F"
"17183",1116957,6,"TUBO DE CHAPA REDONDO SAE 1020 2,65 152X152X340 C/RECORTE"
"17198",1117136,4,"CHAPA FAB PLANA RETANGULAR SAE 1020 3,17 165X120X3,2"
"17210",1117141,8,"TRANSICAO EXCENTRICA SAE 1020 1,90 171,4X85,9X51,4 ESQ"
"118021",1116877,2,"FECHAMENTO SUPERIOR SAE 1020 1,90 272X1,9X338 EL6P C/F"
"119905",1117075,2,"CHAPA FAB PLANA RETANGULAR SAE 1020 6,35 165X300X6,4 C/F"
"113051",1117076,39,"CONJUNTO SUPORTE FIXACAO 80X50X38,1 EXP"
"17340",1116958,4,"FECHAMENTO LATERAL SAE 1020 1,90 32X205X145 C/F"
"18069",1116791,1,"CJ BICA SAIDA 305,2X281,3X353 RT250 EXP"
"18072",1116964,2,"CJ APOIO ROSCA 281,3X281,5X57,4 RT250 EXP"
"24143",1117202,1,"RODAPE PADRAO SAE 1020 1,90 199,2X7X200 C/F C/E ESQ"
"23903",1117233,53,"BARRA FAB CHATA ASTM A36 3,17 400X50,8X3,2"
"25630",1117150,20,"CJ TUBO P/CORRIMAO 31,8X88,6X176,6 UNIAO 40GRAUS EXP"
"33245",1116979,3,"FECHAMENTO LATERAL SAE 1020 1,90 151,8X80,8X83 ESQ"
"35758",1117204,1,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X1182,1 C/C"
"44575",1116987,12,"TUBO FAB REDONDO SAE 1020 31,8X31,8X2015 EXP"
"47726",1117156,1,"CHAPA FAB PLANA RETANGULAR SAE 1020 3,17 250X250X3,2 C/F P/MAO FR EXP"
"45738",1117210,2,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X218 C/F TP1"
"55875",1117165,71,"CHAPA FAB ABRACADEIRA SAE 1020 1,50 32X143,2X117,7 DIAM 102 EXP"
"55694",1117167,2,"CHAPA FAB FIXACAO SAE 1020 2,65 122X192X27,7 C/F ESQ EXP"
"55698",1117169,4,"RODAPE PADRAO SAE 1020 1,90 199,2X7X3000 C/F EXP"
"57137",1116993,12,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X654,1 EXP"
"63853",1116726,4,"CJ TRANSICAO EXCENTRICA 263,5X333,5X218,1 DIAM 150 EXP"
"76528",1117176,1,"PERFIL U FAB PADRAO SAE 1020 3,17 38,2X81,3X1248,1 C/C C/E"
"76529",1117177,1,"PERFIL U FAB PADRAO SAE 1020 3,17 81,3X38,2X1650 C/C"
"108730",1117017,2,"CJ TUBO P/CORRIMAO 100X81,7X31,8 INTERMEDIARIO SUP EXP"
"126208",1117100,2,"CONJUNTO SUPORTE FIXACAO 50X100X290 TP1 EXP"
"126211",1116757,12,"CONJUNTO VEDACAO 221X251X37,7 EXP"
"126212",1116903,2,"TUBO FAB REDONDO SAE 1020 1,90 303,8X30X303,8"
"126218",1116758,2,"CONJUNTO INTERLIGACAO 164,7X145X164,7 EXP"
"126220",1116907,1,"FECHAMENTO LATERAL SAE 1020 1,90 10,5X98,2X201,4"
"111858",1116814,1,"CJ TRAVESSA PERFIL U 200,0X87,7X1248,1 EXP"
"106649",1117183,5,"TUBO FAB REDONDO SAE 1020 31,8X31,8X650 EXP"
"119201",1117025,2,"TUBO FAB QUADRADO SAE 1020 3,17 80X80X1567,8"
"120270",1116817,16,"LATERAL REDUCAO SAE 1020 1,90 205X70,9X39,2"
"120279",1117032,2,"CHAPA FAB PISO XADREZ SAE 1020 3,17 242,0X1262,0X3,2 C/F EXP"
"120280",1117033,4,"CHAPA FAB PISO XADREZ SAE 1020 3,17 762,0X1832,0X3,2 C/F EXP"
"120292",1116822,8,"FLANGE LAM PADRAO ASTM A36 3,17 209X31,8X3,2 C/F"
"120298",1116824,4,"PERFIL U FAB PADRAO SAE 1020 4,75 120X45X2385,8 EXP"
"120346",1116848,1,"TUBO FAB QUADRADO ASTM A36 4,75 100X100X2530 C/C"
"120347",1117047,1,"BANZO LATERAL SAE 1020 3,17 523,4X518X69,5"
"120348",1117048,1,"BANZO LATERAL SAE 1020 3,17 523,4X518X69,5 ESQ"
"120356",1116853,1,"CJ BANZO LATERAL ESCADA 527,3X518,3X69,5 EXP"
"120364",1116855,1,"RODAPE PADRAO SAE 1020 1,90 726X199,2X7 C/E EXP"
"120370",1116738,1,"CJ TRAVESSA PERFIL W 1922,3X203X132,8 EXP"
"126269",1116773,1,"CJ TRANSICAO EXCENTRICA 333,5X297,2X263,5 DIAM 150 EL6P ANGULAR EXP"
"126273",1116938,1,"TUBO FAB REDONDO SAE 1020 2,65 152X152X21"
"126278",1116942,1,"FECHAMENTO TRASEIRO SAE 1020 1,90 392,8X491,9X250"
"126002",1117113,2,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X1070,0 C/F TP1"
"126250",1116769,1,"CONJUNTO INTERLIGACAO 164,7X102,1X164,7 ENTRADA DRWA EXP"
"126253",1116770,4,"FLANGE CHAPA REDONDO SAE 1020 3,17 310,7X310,7X3,2 DIAM 305 EXP"
"10068",1116779,10,"BARRA FAB CHATA ASTM A36 3,17 31,8X333,5X3,2 C/F"
"120376",1116742,2,"CJ PILAR TUBULAR 523,7X177,5X2163,5 EXP"
"120264",1116748,4,"CONJUNTO INTERLIGACAO 558,3X694,8X164,7 EXP"
"119975",1117223,6,"CONJUNTO BENGALA 50,8X1153,2X181,3 PASSO 150 EXP"
"11270",1117193,4,"BARRA FAB REDONDA SAE 1020 7,9X7,9X235"
"123005",1116751,2,"CONJUNTO MAO FRANCESA 40,1X42,9X1328,7 ESQ EXP"
"118016",1116872,3,"FECHAMENTO LATERAL SAE 1020 1,90 36,1X381,1X218 EL5P ESQ"
"16719",1116788,2,"FLANGE LAM PADRAO ASTM A36 3,17 290X31,8X3,2 C/F"
"17175",1116955,2,"TUBO DE CHAPA REDONDO SAE 1020 1,90 152X152X100 C/RECORTE"
"17201",1117139,4,"BARRA FAB REDONDA SAE 1020 12,7X12,7X198"
"118032",1116881,1,"FECHAMENTO LATERAL SAE 1020 1,90 36,1X456,1X348 C/F ESQ"
"17275",1117142,3,"FLANGE CHAPA RETANGULAR SAE 1020 1,90 130X130X1,9 C/F"
"18622",1116962,24,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X863,5 EXP"
"24142",1117201,1,"RODAPE PADRAO SAE 1020 1,90 199,2X7X200 C/F C/E"
"23958",1117147,2,"RODAPE PADRAO SAE 1020 1,90 199,2X7X600 C/F EXP"
"32266",1116970,10,"CJ TRANSICAO CONCENTRICA 228,2X228,2X135 DIAM  150 EXP"
"26576",1116800,4,"CONJUNTO FECHAMENTO 269X39,9X145 S/RECORTE PM"
"24505",1117235,10,"FECHAMENTO LATERAL SAE 1020 1,90 148,1X148,1X60 C/RASGO"
"34217",1116973,4,"BARRA FAB CHATA ASTM A36 3,17 1183,7X50,8X3,2"
"33244",1116978,3,"FECHAMENTO LATERAL SAE 1020 1,90 151,8X80,8X83"
"26235",1116980,4,"RODAPE PADRAO SAE 1020 1,90 199,2X7X1435 C/F EXP"
"26297",1117205,6,"TUBO FAB REDONDO SAE 1020 1,20 31,8X31,8X600 EXP"
"27621",1117155,6,"BARRA FAB CHATA ASTM A36 3,17 286,3X50,8X3,2"
